Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
299.628820	1.72000000	1.37788703	0.725748902	2711.77056	3960.05867	41.7517815	10.1983753	14.3552954	1332.25401	-0.309725857	8.94152342	0.188532107	supercritical
300.272225	1.72000000	1.37495266	0.727297766	2718.34343	3969.29559	41.7825763	10.2005870	14.3573098	1333.61480	-0.310865950	8.95471536	0.188838189	supercritical
300.915630	1.72000000	1.37203083	0.728846594	2724.91765	3978.53379	41.8133095	10.2027760	14.3593029	1334.97443	-0.312000433	8.96789893	0.189143906	supercritical
301.559035	1.72000000	1.36912147	0.730395385	2731.49321	3987.77328	41.8439813	10.2049427	14.3612749	1336.33292	-0.313129347	8.98107416	0.189449262	supercritical
302.202440	1.72000000	1.36622448	0.731944141	2738.07010	3997.01402	41.8745918	10.2070870	14.3632261	1337.69026	-0.314252734	8.99424107	0.189754258	supercritical
302.845845	1.72000000	1.36333979	0.733492861	2744.64829	4006.25602	41.9051415	10.2092094	14.3651566	1339.04645	-0.315370634	9.00739969	0.190058895	supercritical
303.489250	1.72000000	1.36046732	0.735041546	2751.22779	4015.49924	41.9356303	10.2113099	14.3670665	1340.40150	-0.316483088	9.02055004	0.190363175	supercritical
304.132655	1.72000000	1.35760699	0.736590196	2757.80856	4024.74370	41.9660586	10.2133887	14.3689562	1341.75541	-0.317590136	9.03369215	0.190667099	supercritical
304.776060	1.72000000	1.35475873	0.738138811	2764.39060	4033.98936	41.9964266	10.2154460	14.3708256	1343.10818	-0.318691817	9.04682604	0.190970670	supercritical
305.419465	1.72000000	1.35192246	0.739687391	2770.97390	4043.23621	42.0267345	10.2174820	14.3726751	1344.45982	-0.319788171	9.05995175	0.191273889	supercritical
306.062870	1.72000000	1.34909811	0.741235937	2777.55844	4052.48425	42.0569824	10.2194969	14.3745047	1345.81032	-0.320879236	9.07306928	0.191576758	supercritical
306.706275	1.72000000	1.34628559	0.742784449	2784.14421	4061.73347	42.0871707	10.2214909	14.3763147	1347.15969	-0.321965050	9.08617868	0.191879278	supercritical
